                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5578,                 3.7519,                 1.0652,                0.00643,                0.30663,                0.14335,                0.06895,                  1.278,                 3.8211,                0.96828,              0.0002625,              0.0002625,              0.0002625
                      2,                 1.4016,                 2.0168,                 1.0313,                0.00926,                0.51179,                0.33553,                0.19968,                 1.3716,                 3.3995,                  1.025,             0.00053218,             0.00053218,             0.00053218
                      3,                 1.3762,                 1.5488,                 1.0306,                      1,                0.03191,                0.80522,                0.47055,                 1.3374,                 2.8597,                 1.0349,             0.00079641,             0.00079641,             0.00079641
                      4,                  1.341,                 1.3697,                 1.0053,                 0.9362,                0.52105,                0.77791,                0.46258,                 1.2253,                 2.1599,                  1.015,              0.0010552,              0.0010552,              0.0010552
                      5,                 1.3287,                 1.2122,                  1.014,                 0.8311,                 0.7954,                0.85391,                0.49587,                 1.2532,                 1.4959,                 1.0295,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3487,                 1.1745,                 1.0235,                0.84182,                0.82487,                0.86329,                0.51414,                 1.2396,                 1.2544,                 1.0218,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.2743,                  1.114,                 1.0077,                   0.84,                0.86574,                0.88212,                0.54708,                 1.1379,                 1.0803,                0.99264,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.2516,                 1.0818,                0.99835,                0.88288,                0.86146,                0.91059,                0.56289,                 1.1579,                 1.0662,                  1.006,              0.0011757,              0.0011757,              0.0011757
                      9,                  1.254,                 1.0315,                0.99109,                 0.8588,                0.88662,                0.90971,                0.56472,                 1.2202,                0.95879,                 1.0284,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.2437,                0.99338,                0.98531,                0.86033,                0.86586,                0.90718,                0.56996,                 1.1429,                 0.8686,                 1.0082,               0.001151,               0.001151,               0.001151
                     11,                 1.2446,                 0.9867,                0.99901,                0.83295,                0.86759,                0.89792,                0.53847,                 1.1613,                0.87087,                 1.0251,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.2746,                0.95764,                0.99675,                0.88106,                0.90004,                0.91645,                0.55244,                 1.1245,                0.83454,                 1.0119,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.2438,                0.91738,                0.98421,                0.85339,                0.87181,                0.89427,                0.56375,                 1.1029,                0.84393,                 1.0001,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.2284,                 0.9176,                0.98243,                0.82591,                0.88223,                0.90247,                0.55368,                 1.1091,                0.82228,                 1.0083,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.2111,                0.88646,                0.96983,                0.86878,                0.88784,                0.91906,                0.56454,                 1.1927,                0.79973,                 1.0176,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.1888,                0.86608,                0.96581,                0.77227,                0.85758,                 0.9047,                0.55491,                 1.1749,                0.82804,                  1.028,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.1718,                0.83752,                0.96959,                0.89488,                0.88819,                 0.9295,                0.59191,                 1.0641,                0.73861,                0.99195,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.1483,                0.79519,                0.95389,                0.85802,                0.91258,                0.91031,                0.57402,                 1.0992,                0.73396,                0.99935,               0.001052,               0.001052,               0.001052
                     19,                  1.186,                0.81905,                0.96838,                0.87183,                0.89877,                0.90731,                0.56538,                 1.1638,                0.71101,                 1.0092,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.1812,                0.78497,                0.97686,                0.88747,                0.89165,                0.92024,                0.57187,                 1.1721,                0.73507,                 1.0094,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.2087,                0.81787,                0.98219,                0.85794,                0.89163,                0.91565,                0.56608,                 1.1361,                0.69652,                 1.0156,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.1839,                0.79161,                0.97049,                0.89711,                0.89506,                 0.9276,                0.59025,                 1.0662,                0.67798,                 0.9953,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.1585,                0.80083,                0.96589,                0.83216,                0.89128,                0.89644,                0.54191,                  1.165,                0.72225,                 1.0205,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.1247,                0.72699,                0.95153,                0.84156,                0.89544,                0.89225,                0.57727,                 1.0686,                0.66976,                 0.9964,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.1346,                0.71796,                0.95755,                0.88743,                0.94026,                0.93761,                0.60448,                 1.0748,                0.63459,                0.98905,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.1601,                0.74042,                0.96834,                0.90282,                0.92532,                0.92764,                0.59611,                  1.062,                 0.6264,                 0.9917,               0.000953,               0.000953,               0.000953
                     27,                 1.1206,                0.71801,                0.94632,                0.86954,                  0.916,                0.92572,                0.57954,                 1.1013,                0.62351,                 0.9952,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.1391,                0.72078,                0.94926,                0.90912,                0.83986,                0.91579,                0.56537,                 1.1796,                0.64965,                 1.0182,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.1616,                0.72389,                0.95319,                0.86008,                0.91674,                0.92268,                0.59369,                 1.0607,                0.63229,                0.98436,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.1211,                0.70256,                0.95635,                0.89698,                0.89678,                0.92501,                0.57727,                 1.0925,                0.60658,                0.99131,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.1384,                0.70337,                0.95894,                0.90882,                0.92879,                0.94419,                0.60708,                 1.0799,                0.60904,                0.99212,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.1029,                0.69165,                 0.9578,                0.90394,                0.92399,                0.93536,                 0.6039,                 1.1012,                0.61238,                0.98958,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.1027,                0.66339,                0.94135,                0.88909,                0.90138,                 0.9254,                0.59146,                 1.0904,                0.63002,                0.98686,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.1182,                0.69144,                0.95569,                0.89324,                0.91431,                0.92773,                0.59297,                 1.0892,                0.61869,                0.99657,               0.000854,               0.000854,               0.000854
                     35,                 1.1473,                0.69676,                0.96513,                0.88115,                0.91486,                 0.9183,                0.58164,                  1.045,                0.61969,                0.98026,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.1001,                 0.6892,                0.93978,                0.84709,                0.87796,                0.89933,                0.54292,                  1.092,                0.63428,                 1.0034,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.0948,                0.65948,                0.94262,                0.85471,                0.93166,                0.91633,                0.57086,                 1.0718,                0.59628,                0.99111,             0.00081688,             0.00081688,             0.00081688
                     38,                  1.076,                0.65296,                 0.9375,                 0.8895,                0.92617,                0.92987,                0.59768,                 1.0707,                0.59819,                0.99482,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.0973,                 0.6648,                0.94916,                0.86644,                0.89634,                0.91174,                0.56669,                 1.1007,                0.63546,                0.99987,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.1054,                0.66096,                0.93992,                0.85043,                0.86205,                0.91483,                0.57856,                 1.0877,                0.61653,                 1.0038,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.0759,                0.64175,                0.93256,                0.89487,                0.93249,                0.94688,                0.61296,                  1.061,                0.60568,                0.98959,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.0831,                0.63747,                0.94278,                0.91252,                0.91199,                0.93658,                0.60103,                  1.062,                0.59821,                0.98119,               0.000755,               0.000755,               0.000755
                     43,                 1.0813,                0.63287,                0.94884,                0.87751,                0.95508,                0.93256,                0.59635,                 1.0634,                0.59134,                0.99602,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.0919,                0.65473,                0.93757,                 0.8919,                0.93868,                0.93927,                0.59723,                 1.1073,                0.57982,                0.99748,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.1106,                0.64715,                0.94145,                0.90498,                0.93745,                0.93968,                0.60279,                  1.103,                 0.5955,                 1.0064,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.0612,                0.62099,                 0.9303,                0.87236,                0.94496,                0.93194,                0.59501,                 1.0876,                0.58651,                0.99885,              0.0007055,              0.0007055,              0.0007055
                     47,                  1.067,                0.63023,                0.93566,                0.88972,                0.94754,                0.93647,                0.60832,                 1.0693,                0.58261,                 0.9932,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.0572,                0.61495,                0.92701,                0.87161,                0.91409,                0.91895,                0.59146,                 1.0717,                0.60152,                0.99435,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.0648,                 0.6244,                0.93781,                0.88847,                0.93341,                 0.9316,                0.59449,                 1.0577,                0.58385,                0.99936,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.0586,                0.60319,                0.93923,                0.90236,                0.92896,                0.93565,                0.60895,                 1.0559,                0.60474,                0.98845,               0.000656,               0.000656,               0.000656
                     51,                 1.0427,                0.61305,                0.92524,                0.89165,                0.93707,                0.93913,                0.60585,                 1.0909,                0.59186,                0.99339,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.0464,                0.61215,                 0.9336,                0.87653,                0.88201,                0.90649,                 0.5582,                  1.119,                0.62444,                 1.0227,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.0598,                0.62015,                0.93753,                0.87642,                0.90234,                0.91484,                0.58644,                 1.0714,                0.60015,                  1.003,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.0544,                0.59882,                0.92991,                0.89194,                0.89484,                0.91422,                0.59156,                  1.078,                0.60451,                 1.0018,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.0548,                0.59048,                0.92066,                0.85559,                0.91008,                0.90777,                0.56554,                 1.1212,                0.60654,                 1.0188,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.0579,                0.58782,                0.92873,                0.90122,                0.91157,                0.92869,                0.59359,                 1.0709,                0.56771,                0.99652,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.0579,                0.58838,                0.93284,                0.90941,                0.92753,                0.94498,                0.61064,                 1.0347,                0.53854,                0.98508,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.0359,                0.57424,                0.92888,                0.89967,                0.93943,                0.93914,                0.61781,                0.99941,                0.54586,                0.97616,               0.000557,               0.000557,               0.000557
                     59,                 1.0448,                 0.5767,                0.92928,                0.91634,                0.92213,                0.92949,                0.60336,                 1.0437,                0.54972,                0.98532,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.0329,                0.58782,                0.91993,                0.89668,                0.93345,                0.93128,                0.59958,                 1.0672,                0.55589,                0.99606,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.0368,                0.59059,                0.92265,                0.86528,                0.93011,                0.91915,                0.57481,                   1.07,                0.57778,                0.99942,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.0244,                0.57237,                0.92228,                0.87789,                0.91434,                0.92314,                0.58404,                  1.077,                0.58055,                0.99885,              0.0005075,              0.0005075,              0.0005075
                     63,                  1.015,                0.57112,                0.92173,                0.86081,                0.91177,                0.89918,                0.56663,                 1.0338,                0.57734,                0.98269,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.0298,                0.56837,                0.92247,                0.90409,                0.92209,                0.93458,                0.60088,                 1.0113,                0.56669,                 0.9825,             0.00048275,             0.00048275,             0.00048275
                     65,                0.99711,                0.55758,                0.91493,                0.88044,                0.90397,                0.91528,                0.59058,                 1.0316,                0.55829,                0.98212,             0.00047038,             0.00047038,             0.00047038
                     66,                 0.9911,                0.54092,                0.90683,                0.91062,                0.90061,                0.92968,                0.60263,                 1.0296,                0.55315,                0.97684,               0.000458,               0.000458,               0.000458
                     67,                 1.0028,                0.56094,                 0.9134,                 0.9014,                0.91276,                0.92922,                0.59278,                 1.0286,                0.55254,                0.98074,             0.00044563,             0.00044563,             0.00044563
                     68,                0.99996,                0.56784,                0.91859,                0.89982,                0.93368,                0.94483,                0.59965,                 1.0338,                0.55558,                0.98447,             0.00043325,             0.00043325,             0.00043325
                     69,                0.99433,                0.54492,                0.91933,                0.88893,                0.93258,                0.93685,                0.60179,                 1.0196,                0.54488,                 0.9838,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.0026,                0.55077,                0.92326,                0.90323,                0.92707,                0.93576,                0.59437,                 1.0485,                0.57599,                0.98793,              0.0004085,              0.0004085,              0.0004085
